D4;D10;D21;D36;D60
2.09E-01;1.00E-01;1.06E+00;5.09E+00;1.51E+00
1.77E-01;8.77E-02;8.69E-01;7.36E-01;1.48E+00
9.61E-02;8.66E-02;3.49E-01;5.28E-01;1.45E+00
8.63E-02;8.26E-02;3.35E-01;3.83E-01;1.24E+00
7.02E-02;8.12E-02;2.84E-01;3.41E-01;1.00E+00
6.03E-02;8.10E-02;2.80E-01;3.36E-01;4.72E-01
5.90E-02;6.80E-02;2.44E-01;3.09E-01;4.00E-01
5.04E-02;6.79E-02;2.24E-01;3.07E-01;3.96E-01
4.88E-02;6.45E-02;2.02E-01;2.80E-01;3.84E-01
4.58E-02;5.40E-02;1.93E-01;2.55E-01;3.44E-01
4.46E-02;4.95E-02;1.93E-01;2.48E-01;2.99E-01
4.26E-02;4.65E-02;1.90E-01;2.46E-01;2.86E-01
3.59E-02;4.59E-02;1.85E-01;2.45E-01;2.84E-01
3.03E-02;4.53E-02;1.63E-01;2.35E-01;2.77E-01
3.02E-02;3.87E-02;1.52E-01;2.28E-01;2.70E-01
2.90E-02;3.82E-02;1.45E-01;2.26E-01;2.65E-01
2.57E-02;3.68E-02;1.36E-01;2.25E-01;2.48E-01
2.56E-02;3.60E-02;1.26E-01;2.13E-01;2.35E-01
2.38E-02;3.53E-02;1.16E-01;2.10E-01;2.28E-01
2.27E-02;3.50E-02;1.12E-01;2.09E-01;2.10E-01
2.17E-02;3.41E-02;1.10E-01;2.06E-01;2.05E-01
2.12E-02;3.38E-02;1.07E-01;2.01E-01;2.03E-01
1.99E-02;3.07E-02;1.05E-01;1.99E-01;1.95E-01
1.98E-02;3.02E-02;1.04E-01;1.88E-01;1.86E-01
1.92E-02;2.96E-02;1.01E-01;1.87E-01;1.74E-01
1.91E-02;2.88E-02;9.86E-02;1.80E-01;1.70E-01
1.90E-02;2.85E-02;9.74E-02;1.70E-01;1.66E-01
1.88E-02;2.65E-02;9.51E-02;1.70E-01;1.66E-01
1.86E-02;2.58E-02;8.96E-02;1.61E-01;1.55E-01
1.84E-02;2.52E-02;8.75E-02;1.60E-01;1.50E-01
1.72E-02;2.52E-02;8.16E-02;1.54E-01;1.50E-01
1.60E-02;2.35E-02;8.01E-02;1.52E-01;1.47E-01
1.56E-02;2.28E-02;7.71E-02;1.46E-01;1.40E-01
1.56E-02;2.25E-02;7.51E-02;1.39E-01;1.31E-01
1.55E-02;2.25E-02;7.43E-02;1.28E-01;1.22E-01
1.55E-02;2.22E-02;6.88E-02;1.24E-01;1.22E-01
1.54E-02;2.16E-02;6.54E-02;1.24E-01;1.21E-01
1.47E-02;2.12E-02;6.05E-02;1.23E-01;1.18E-01
1.39E-02;2.10E-02;5.73E-02;1.21E-01;1.17E-01
1.39E-02;2.09E-02;5.68E-02;1.21E-01;1.09E-01
1.37E-02;2.07E-02;5.46E-02;1.18E-01;1.05E-01
1.35E-02;2.06E-02;5.12E-02;1.00E-01;1.00E-01
1.32E-02;2.06E-02;4.86E-02;9.57E-02;9.96E-02
1.29E-02;2.05E-02;4.85E-02;9.51E-02;9.25E-02
1.29E-02;1.96E-02;4.84E-02;9.41E-02;9.22E-02
1.18E-02;1.95E-02;4.83E-02;9.31E-02;9.00E-02
1.14E-02;1.88E-02;4.61E-02;9.07E-02;8.61E-02
1.14E-02;1.85E-02;4.61E-02;8.79E-02;8.55E-02
1.13E-02;1.82E-02;4.45E-02;8.76E-02;8.27E-02
1.08E-02;1.79E-02;4.43E-02;8.66E-02;8.15E-02
1.05E-02;1.78E-02;4.23E-02;8.46E-02;8.14E-02
1.04E-02;1.71E-02;4.07E-02;8.41E-02;7.97E-02
1.02E-02;1.69E-02;3.86E-02;8.24E-02;7.83E-02
9.98E-03;1.68E-02;3.83E-02;8.18E-02;7.68E-02
9.70E-03;1.66E-02;3.71E-02;7.88E-02;7.27E-02
9.41E-03;1.64E-02;3.68E-02;7.88E-02;7.00E-02
9.13E-03;1.57E-02;3.43E-02;7.85E-02;7.00E-02
9.12E-03;1.54E-02;3.30E-02;7.69E-02;6.80E-02
8.78E-03;1.53E-02;3.20E-02;7.63E-02;6.74E-02
8.73E-03;1.49E-02;2.68E-02;7.61E-02;6.67E-02
8.67E-03;1.45E-02;2.59E-02;7.60E-02;6.57E-02
8.49E-03;1.43E-02;2.58E-02;7.51E-02;6.37E-02
8.44E-03;1.41E-02;2.54E-02;7.34E-02;6.20E-02
8.30E-03;1.40E-02;2.50E-02;7.26E-02;6.17E-02
8.21E-03;1.34E-02;2.45E-02;7.17E-02;6.13E-02
8.19E-03;1.33E-02;2.40E-02;7.03E-02;5.75E-02
8.14E-03;1.29E-02;2.32E-02;6.79E-02;5.68E-02
8.05E-03;1.29E-02;2.30E-02;6.62E-02;5.42E-02
8.03E-03;1.28E-02;2.24E-02;6.62E-02;5.40E-02
7.96E-03;1.26E-02;2.18E-02;6.60E-02;5.38E-02
7.85E-03;1.23E-02;2.16E-02;6.52E-02;5.36E-02
7.48E-03;1.23E-02;2.11E-02;6.25E-02;5.22E-02
7.31E-03;1.23E-02;2.04E-02;6.22E-02;5.12E-02
0.00729315;1.21E-02;2.04E-02;6.18E-02;5.03E-02
7.29E-03;1.21E-02;2.00E-02;5.70E-02;4.91E-02
7.23E-03;1.14E-02;1.94E-02;5.64E-02;4.85E-02
6.90E-03;1.12E-02;1.94E-02;5.45E-02;4.82E-02
6.87E-03;1.08E-02;1.89E-02;5.38E-02;4.73E-02
6.70E-03;1.07E-02;1.86E-02;5.23E-02;4.62E-02
6.57E-03;1.01E-02;1.86E-02;5.04E-02;4.50E-02
6.50E-03;9.79E-03;1.82E-02;4.96E-02;4.35E-02
6.49E-03;9.76E-03;1.80E-02;4.94E-02;3.80E-02
6.38E-03;9.37E-03;1.76E-02;4.83E-02;3.71E-02
6.23E-03;9.33E-03;1.60E-02;4.83E-02;3.46E-02
6.22E-03;9.33E-03;1.60E-02;4.81E-02;3.44E-02
6.10E-03;9.04E-03;1.47E-02;4.78E-02;3.39E-02
6.07E-03;8.84E-03;1.32E-02;4.68E-02;3.33E-02
6.06E-03;8.77E-03;1.23E-02;4.52E-02;3.21E-02
6.00E-03;8.77E-03;1.18E-02;4.51E-02;2.78E-02
5.96E-03;8.60E-03;1.16E-02;4.51E-02;2.77E-02
5.39E-03;8.49E-03;1.15E-02;4.43E-02;2.76E-02
