D4;D10;D21;D36;D60
8.626E-02;1.690E-02;1.588E-01;5.279E-01;2.769E-01
5.902E-02;7.892E-03;2.725E-01;9.405E-02;2.054E-01
3.587E-02;1.959E-02;7.304E-02;8.459E-02;5.222E-02
1.328E-04;7.562E-03;2.850E-02;4.682E-02;9.246E-02
2.452E-03;3.406E-02;1.524E-02;9.307E-02;1.948E-01
1.038E-02;2.582E-02;1.301E-02;9.568E-02;3.996E-01
8.209E-03;7.940E-03;4.842E-02;1.464E-01;1.238E+00
5.016E-03;1.679E-02;3.641E-02;;6.198E-02
6.473E-05;2.957E-02;5.788E-03;3.830E-01;5.028E-02
2.324E-05;3.381E-02;6.633E-03;5.231E-02;3.458E-02
9.695E-03;1.327E-02;1.071E-02;1.244E-01;7.972E-02
2.070E-03;5.047E-03;3.810E-02;;8.140E-02
9.461E-04;4.292E-03;4.278E-02;0.73571;1.216E-01
1.142E-02;3.867E-02;6.869E-02;4.779E-02;8.265E-02
3.409E-03;2.123E-02;7.207E-03;1.206E-01;3.713E-02
8.667E-03;4.717E-03;1.252E-02;6.521E-02;8.938E-03
2.823E-03;1.233E-02;8.053E-03;1.232E-01;1.460E-02
3.839E-03;1.877E-03;8.089E-02;2.129E-01;1.198E-02
1.547E-02;2.002E-03;7.419E-02;7.261E-02;8.606E-02
3.701E-04;8.774E-03;8.039E-02;8.789E-02;5.423E-02
6.068E-03;1.008E-02;3.687E-02;4.522E-02;2.628E-02
2.030E-03;8.838E-03;9.778E-03;3.921E-02;2.768E-02
3.054E-04;4.648E-02;9.409E-03;4.956E-02;2.606E-02
1.316E-03;1.340E-02;2.378E-03;2.461E-01;5.377E-02
3.353E-04;8.774E-03;6.197E-02;1.276E-01;1.648E-02
1.384E-03;2.070E-02;1.578E-02;;2.300E-02
8.797E-05;2.882E-02;3.938E-02;3.085E-01;2.218E-02
1.197E-03;2.345E-02;2.510E-02;7.613E-02;1.165E-01
6.457E-04;2.524E-02;6.893E-02;3.400E-02;6.665E-02
1.819E-03;1.573E-02;1.992E-02;7.511E-02;4.624E-02
1.117E-03;3.763E-03;4.198E-02;2.933E-02;1.702E-01
5.393E-03;2.357E-03;2.960E-02;1.234E-02;9.605E-03
1.557E-03;7.594E-03;1.124E-02;1.685E-02;4.908E-02
3.535E-04;3.778E-03;9.273E-03;;1.037E-02
4.256E-03;2.777E-03;3.328E-02;5.702E-02;1.681E-02
1.734E-03;5.897E-03;2.061E-02;9.509E-02;3.442E-02
1.247E-03;7.526E-03;3.212E-02;3.513E-02;1.262E-02
3.403E-04;6.045E-03;2.086E-02;2.292E-02;
7.502E-04;1.213E-03;2.891E-02;4.427E-02;1.337E-02
8.415E-04;4.320E-03;5.011E-02;;2.755E-02
3.137E-03;1.449E-02;2.679E-02;4.825E-02;6.289E-01
2.903E-03;2.893E-03;5.616E-02;1.968E-02;2.323E-01
2.783E-03;5.330E-03;9.078E-02;2.044E-02;3.156E-01
7.635E-05;3.021E-03;9.035E-02;4.295E-02;1.754E-01
7.502E-04;8.664E-02;2.884E-02;1.445E-02;8.163E-01
1.813E-03;8.771E-02;5.381E-02;3.293E-02;5.920E-02
1.769E-03;4.593E-02;3.552E-02;2.009E-02;2.789E-02
2.843E-03;8.096E-02;3.487E-02;7.690E-02;1.903E-02
8.731E-03;2.220E-02;1.737E-02;2.094E-02;8.755E-01
2.135E-03;3.495E-02;4.298E-02;;5.772E-02
2.030E-03;2.249E-02;7.229E-02;2.093E-01;1.695E-02
5.394E-04;2.049E-02;1.785E-02;2.599E-02;1.600E-02
6.098E-03;1.849E-02;9.013E-02;5.087E+00;1.663E-02
7.021E-04;1.213E-02;6.142E-02;3.386E-02;5.057E-01
3.585E-03;7.001E-03;2.126E-02;4.941E-02;3.559E-01
1.288E-03;6.387E-03;1.926E-01;3.739E-02;3.844E-01
1.706E-03;1.398E-02;8.748E-02;2.747E-02;1.659E-01
3.361E-03;9.038E-03;6.876E-02;2.261E-01;3.577E-01
2.656E-04;1.823E-02;1.040E-01;1.237E-01;1.228E-01
8.194E-03;1.212E-02;1.229E-02;2.353E-01;4.089E-01
1.288E-02;5.994E-03;7.708E-02;1.702E-01;8.718E-01
3.980E-03;4.510E-03;4.227E-02;2.101E-01;7.360E-01
2.785E-03;1.285E-03;8.159E-02;0.0734328;8.879E-02
1.295E-03;7.882E-03;3.298E-02;1.614E-01;9.082E-02
9.145E-04;1.229E-02;2.239E-01;3.530E-02;9.626E-02
4.747E-04;2.515E-02;4.843E-02;1.766E-02;4.720E-02
6.125E-04;2.219E-03;5.117E-02;1.822E-02;1.009E-01
6.473E-05;6.116E-03;1.854E-01;1.521E-01;9.513E-02
1.572E-03;5.861E-03;2.801E-01;6.600E-02;1.321E-01
1.969E-03;2.989E-03;2.443E-01;4.830E-02;6.785E-02
1.959E-03;4.998E-03;8.013E-02;6.077E-03;2.058E-01
2.890E-03;1.034E-03;1.931E-01;7.852E-02;1.622E-01
4.531E-04;3.032E-03;3.349E-01;8.759E-02;1.046E-01
2.539E-04;9.610E-04;1.520E-01;3.507E-02;1.774E-01
1.129E-02;1.411E-02;1.103E-01;1.222E-02;
6.495E-03;1.536E-02;5.683E-02;3.952E-02;
8.442E-03;1.230E-02;2.502E-02;5.379E-02;1.661E-01
9.179E-04;6.785E-03;3.494E-01;4.512E-02;2.281E-01
1.283E-03;2.227E-03;1.118E-01;2.074E-02;1.000E+00
1.950E-03;2.805E-03;9.736E-02;6.246E-02;3.795E-02
1.771E-03;7.516E-03;1.006E-01;4.809E-02;7.830E-02
3.751E-04;8.598E-03;1.263E-01;1.597E-01;1.657E-01
6.805E-04;9.789E-03;2.021E-01;6.177E-02;1.219E-01
5.162E-04;6.986E-03;1.627E-01;5.446E-02;4.345E-02
2.307E-04;6.370E-03;1.450E-01;2.845E-02;2.477E-01
1.251E-03;6.804E-02;2.583E-02;3.134E-02;1.310E-01
8.249E-04;8.123E-02;4.429E-02;3.886E-02;1.473E-01
3.600E-03;6.453E-02;8.957E-02;9.065E-02;3.443E-01
2.118E-03;6.983E-03;9.511E-02;8.178E-02;9.955E-02
6.026E-02;1.124E-02;5.285E-03;1.871E-01;2.698E-01
1.473E-02;8.301E-03;1.075E-02;8.235E-02;9.215E-02
4.876E-02;1.275E-02;2.592E-02;1.211E-01;6.371E-02
4.462E-02;4.857E-03;4.606E-02;3.413E-02;2.346E-01
5.043E-02;3.018E-02;6.047E-02;2.524E-02;1.403E-01
2.898E-02;2.089E-02;7.507E-02;4.507E-02;7.272E-02
9.984E-03;1.789E-02;3.197E-02;2.008E-01;5.118E-02
1.840E-02;5.402E-02;2.114E-02;1.002E-01;4.724E-01
1.393E-02;7.559E-03;1.072E-01;2.454E-01;1.052E-01
1.984E-02;3.072E-02;3.860E-02;7.172E-02;2.025E-01
1.986E-02;6.789E-02;1.062E+00;7.875E-02;6.168E-02
